Output, nFit, purity, sigBox
Data_00_03 , 2289±76 , 0.599 , 2289±76
Data_00_06 , 6511±122 , 0.614 , 6510±122
Data_00_08 , 1226±48 , 0.714 , 1226±48
Data_00_10 , 2966±100 , 0.470 , 2966±100
Data_00_05 , 35675±266 , 0.702 , 35668±266
Data_00_13 , 33775±276 , 0.622 , 33771±276
Data_01_01 , 392±39 , 0.410 , 391±39
Data_01_02 , 14888±168 , 0.693 , 14880±168
Data_01_05 , 17646±189 , 0.683 , 17625±189
Data_01_03 , 1008±45 , 0.654 , 1008±45
Data_01_06 , 1319±51 , 0.690 , 1318±51
Data_01_10 , 344±30 , 0.499 , 344±30
Data_01_13 , 16870±186 , 0.656 , 16862±186
Data_01_14 , 1249±51 , 0.666 , 1247±51
Data_03_02 , 7720±113 , 0.757 , 7718±113
Data_03_13 , 6427±97 , 0.809 , 6426±97
Data_15_00 , 653±37 , 0.701 , 650±37
Data_15_03 , 540±29 , 0.814 , 540±29
Data_15_01 , 148±19 , 0.587 , 148±19
Data_15_06 , 7291±104 , 0.857 , 7287±104
Data_15_07 , 1448±51 , 0.754 , 1448±51
Data_15_09 , 340±25 , 0.812 , 339±25
Data_15_05 , 274±25 , 0.604 , 274±25
Data_15_08 , 265±22 , 0.796 , 264±22
Data_15_12 , 1181±46 , 0.760 , 1180±46
Data_15_10 , 171±18 , 0.727 , 171±18
Data_15_11 , 2884±62 , 0.884 , 2882±62
