Data_group00_Johnson.root  , 25929±224 , 0.659 , 25924±224
Data_group00_Gaussian.root , 25922±224 , 0.659 , 25917±224
Data_group00_CB.root       , 26174±265 , 0.664 , 26099±265
Data_group01_Johnson.root  , 13095±187 , 0.583 , 13089±187
Data_group01_Gaussian.root , 13003±181 , 0.579 , 13001±181
Data_group01_CB.root       , 13153±187 , 0.584 , 13120±187
Data_group02_Johnson.root  , 69451±382 , 0.661 , 69439±382
Data_group02_Gaussian.root , 69427±384 , 0.660 , 69416±383
Data_group02_CB.root       , 69531±389 , 0.661 , 69487±388
Data_group03_Johnson.root  , 3899±96 , 0.689 , 3896±96
Data_group03_Gaussian.root , 3875±94 , 0.685 , 3874±94
Data_group03_CB.root       , 4436±280 , 0.703 , 3978±251
Data_group04_Johnson.root  , 33411±267 , 0.691 , 33327±266
Data_group04_Gaussian.root , 32904±256 , 0.681 , 32877±255
Data_group04_CB.root       , 34622±333 , 0.705 , 34033±327
Data_group05_Johnson.root  , 19273±203 , 0.661 , 19251±203
Data_group05_Gaussian.root , 19123±198 , 0.657 , 19113±198
Data_group05_CB.root       , 19731±268 , 0.671 , 19542±265
Data_group06_Johnson.root  , 14150±122 , 0.780 , 14148±122
Data_group06_Gaussian.root , 14147±149 , 0.780 , 14145±149
Data_group06_CB.root       , 14397±219 , 0.789 , 14309±217
Data_group07_Johnson.root  , 5414±96 , 0.797 , 5411±96
Data_group07_Gaussian.root , 5386±91 , 0.794 , 5385±91
Data_group07_CB.root       , 5538±111 , 0.810 , 5494±110
Data_group08_Johnson.root  , 1211±48 , 0.758 , 1206±48
Data_group08_Gaussian.root , 1197±47 , 0.751 , 1194±47
Data_group08_CB.root       , 1228±58 , 0.763 , 1213±57
Data_group09_Johnson.root  , 9323±126 , 0.839 , 9308±125
Data_group09_Gaussian.root , 9215±121 , 0.830 , 9210±120
Data_group09_CB.root       , 9706±143 , 0.863 , 9569±141
Data_group10_Johnson.root  , 5737±105 , 0.853 , 5723±105
Data_group10_Gaussian.root , 5633±95 , 0.840 , 5630±95
Data_group10_CB.root       , 6026±139 , 0.883 , 5920±137
Data_group11_Johnson.root  , 1723±59 , 0.736 , 1721±59
Data_group11_Gaussian.root , 1716±57 , 0.733 , 1715±57
Data_group11_CB.root       , 1762±62 , 0.748 , 1748±61
Data_group12_Johnson.root  , 3114±66 , 0.889 , 3104±66
Data_group12_Gaussian.root , 3056±64 , 0.874 , 3055±64
Data_group12_CB.root       , 3204±73 , 0.903 , 3155±72
Data_group13_Johnson.root  , 6402±121 , 0.742 , 6363±120
Data_group13_Gaussian.root , 6233±108 , 0.726 , 6225±108
Data_group13_CB.root       , 6720±153 , 0.763 , 6537±149
Data_group14_Johnson.root  , 8349±96 , 0.946 , 8347±96
Data_group14_Gaussian.root , 8347±96 , 0.946 , 8346±96
Data_group14_CB.root       , 8358±97 , 0.947 , 8352±97
Data_group15_Johnson.root  , 3098±152 , 0.861 , 3096±152
Data_group15_Gaussian.root , 3097±65 , 0.860 , 3095±65
Data_group15_CB.root       , 3129±78 , 0.865 , 3114±78
Data_group16_Johnson.root  , 11129±139 , 0.856 , 11127±139
Data_group16_Gaussian.root , 11126±135 , 0.856 , 11124±135
Data_group16_CB.root       , 11239±149 , 0.863 , 11217±148
Data_group17_Johnson.root  , 2435±64 , 0.906 , 2415±64
Data_group17_Gaussian.root , 2342±59 , 0.878 , 2340±59
Data_group17_CB.root       , 2526±87 , 0.926 , 2469±85
Data_group18_Johnson.root  , 2995±74 , 0.780 , 2994±74
Data_group18_Gaussian.root , 2991±81 , 0.779 , 2991±81
Data_group18_CB.root       , 3081±99 , 0.785 , 3016±97
Data_group19_Johnson.root  , 4280±101 , 0.574 , 4279±101
Data_group19_Gaussian.root , 4270±102 , 0.573 , 4270±102
Data_group19_CB.root       , 6353±340 , 0.593 , 4420±237
Data_group20_Johnson.root  , 4967±80 , 0.725 , 4966±80
Data_group20_Gaussian.root , 4965±91 , 0.724 , 4965±91
Data_group20_CB.root       , 4975±106 , 0.725 , 4970±106
