ExlB0_float_group00_CB.root       , 42060±368 , 0.619 , 41851±366
ExlB0_float_group01_Johnson.root  , 28839±296 , 0.553 , 28795±296
ExlB0_float_group02_Johnson.root  , 120663±489 , 0.689 , 120584±489
ExlB0_float_group03_Johnson.root  , 5951±106 , 0.728 , 5949±106
ExlB0_float_group04_CB.root       , 84061±506 , 0.746 , 82753±498
ExlB0_float_group05_CB.root       , 53474±347 , 0.785 , 52922±343
ExlB0_float_group06_Gaussian.root , 30276±202 , 0.858 , 30271±202
ExlB0_float_group07_Johnson.root  , 10910±136 , 0.832 , 10894±135
ExlB0_float_group08_Gaussian.root , 1889±69 , 0.672 , 1885±69
ExlB0_float_group09_Johnson.root  , 16017±179 , 0.820 , 15956±178
ExlB0_float_group10_Johnson.root  , 9008±134 , 0.841 , 8972±133
ExlB0_float_group11_Gaussian.root , 3336±80 , 0.715 , 3335±80
ExlB0_float_group12_Johnson.root  , 5855±100 , 0.872 , 5836±100
ExlB0_float_group13_CB.root       , 10774±213 , 0.837 , 10402±205
ExlB0_float_group14_Gaussian.root , 13498±127 , 0.911 , 13494±127
ExlB0_float_group15_Gaussian.root , 6339±96 , 0.824 , 6336±96
ExlB0_float_group16_Gaussian.root , 22354±178 , 0.880 , 22349±178
ExlB0_float_group17_Gaussian.root , 12244±133 , 0.882 , 12230±133
ExlB0_float_group18_Gaussian.root , 5783±98 , 0.822 , 5782±98
ExlB0_float_group19_Gaussian.root , 10062±163 , 0.546 , 10060±163
ExlB0_float_group20_Gaussian.root , 13886±139 , 0.831 , 13883±139
