B0_fixSig_group00_CB , 66±8 , -17 , 18
B0_fixSig_group01_Johnson , 287±17 , -84 , 83
B0_fixSig_group02_Johnson , 634±25 , -238 , 228
B0_fixSig_group03_Johnson , 43±7 , -15 , 10
B0_fixSig_group04_CB , 459±21 , -165 , 170
B0_fixSig_group05_CB , 296±17 , -109 , 120
B0_fixSig_group06_Gaussian , 112±11 , -52 , 33
B0_fixSig_group07_Johnson , 68±8 , -30 , 23
B0_fixSig_group08_Gaussian , 135±12 , -59 , 25
B0_fixSig_group09_Johnson , 795±28 , -386 , 157
B0_fixSig_group10_Johnson , 515±23 , -284 , 97
B0_fixSig_group11_Gaussian , 106±10 , -39 , 28
B0_fixSig_group12_Johnson , 147±12 , -37 , 20
B0_fixSig_group13_CB , 20±4 , -3 , 9
B0_fixSig_group14_Gaussian , 27±5 , -8 , 2
B0_fixSig_group15_Gaussian , 205±14 , -71 , 88
B0_fixSig_group16_Gaussian , 141±12 , -49 , 63
B0_fixSig_group17_Gaussian , 418±20 , -150 , 132
B0_fixSig_group18_Gaussian , 70±8 , -33 , 81
B0_fixSig_group19_Gaussian , 40±6 , -16 , 13
B0_fixSig_group20_Gaussian , 56±7 , -19 , 31
